GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JtSpringProject,com.jtspringproject.JtSpringProject.services,productService,28,3,0,0,6,1,5,1,5,1
JtSpringProject,com.jtspringproject.JtSpringProject.services,cartService,19,3,0,0,6,1,4,1,4,1
JtSpringProject,com.jtspringproject.JtSpringProject.services,categoryService,25,3,0,0,5,1,5,1,5,1
JtSpringProject,com.jtspringproject.JtSpringProject.services,userService,31,3,0,0,7,1,5,1,5,1
JtSpringProject,com.jtspringproject.JtSpringProject.dao,cartDao,31,3,0,0,9,1,5,1,5,1
JtSpringProject,com.jtspringproject.JtSpringProject.dao,cartProductDao,56,3,0,0,19,1,6,1,6,1
JtSpringProject,com.jtspringproject.JtSpringProject.dao,productDao,58,3,2,0,14,1,7,1,6,1
JtSpringProject,com.jtspringproject.JtSpringProject.dao,categoryDao,74,3,2,0,18,1,7,1,6,1
JtSpringProject,com.jtspringproject.JtSpringProject.dao,userDao,13,90,1,3,6,21,2,7,1,6
JtSpringProject,com.jtspringproject.JtSpringProject.controller,UserController,255,9,10,0,60,4,14,1,9,1
JtSpringProject,com.jtspringproject.JtSpringProject.controller,AdminController,366,12,8,0,99,5,21,1,17,1
JtSpringProject,com.jtspringproject.JtSpringProject.controller,ErrorController,2,3,0,0,1,1,1,1,1,1
JtSpringProject,com.jtspringproject.JtSpringProject.configuration,SecurityConfiguration.UserConfigurationAdapter,8,95,0,0,4,16,2,7,2,7
JtSpringProject,com.jtspringproject.JtSpringProject.configuration,SecurityConfiguration.AdminConfigurationAdapter,8,87,0,0,4,17,2,7,2,7
JtSpringProject,com.jtspringproject.JtSpringProject.configuration,SecurityConfiguration,44,13,4,0,10,5,4,3,2,3
JtSpringProject,com.jtspringproject.JtSpringProject,HibernateConfiguration,0,80,0,0,0,19,0,4,0,4
JtSpringProject,com.jtspringproject.JtSpringProject,JtSpringProjectApplication,5,3,0,0,2,1,1,1,1,1
JtSpringProject,com.jtspringproject.JtSpringProject.models,Cart,14,3,0,0,6,2,4,1,4,1
JtSpringProject,com.jtspringproject.JtSpringProject.models,Category,14,3,0,0,6,1,4,1,4,1
JtSpringProject,com.jtspringproject.JtSpringProject.models,User,39,24,0,0,16,10,7,7,7,7
JtSpringProject,com.jtspringproject.JtSpringProject.models,Product,56,3,0,0,24,1,16,1,16,1
JtSpringProject,com.jtspringproject.JtSpringProject.models,CartProduct,30,6,0,0,13,3,7,1,7,1
